Trainingszeit,Gewicht
0.0,80.0
89.49899799599199,80.82452263726714
145.6112224448898,78.08510870670737
230.34068136272546,79.31406020087077
285.3306613226453,75.67094353842808
368.37675350701403,77.05327042542623
455.3507014028056,78.04441818347297
504.7294589178357,69.73283717016938
585.811623246493,71.24056675147486
678.1162324649299,71.83244468067615
776.0320641282566,72.31823372249168
835.5110220440882,72.04063410060796
886.8537074148297,65.86103397970423
936.7935871743488,59.23336546099125
1018.7174348697396,60.425787973840286
1079.3186372745492,60.67706462726113
1141.3226452905812,61.44969748849624
1235.871743486974,61.90122017075252
1306.0120240480962,64.35081043033908
1387.935871743487,65.64625185055942
1484.7294589178357,66.100471199854
1557.114228456914,68.7268933388003
1613.2264529058118,66.3975086066275
1690.6613226452907,68.32399964720304
1788.8577154308618,68.78337718658095
1859.2785571142285,71.52226194076047
1954.3887775551102,72.03696670970497
2023.4068136272545,74.77007682879635
2090.741482965932,77.31522206689344
2140.681362725451,69.53490596271627
2193.426853707415,64.62126541537062
2283.2064128256516,65.27179454967322
2344.9298597194393,65.99923782491884
2431.062124248497,66.91497402537644
2496.432865731463,68.77554112842557
2559.5591182364733,70.04508937063886
2615.671342685371,67.67102655742087
2689.739478957916,70.18429108826362
2787.6553106212427,70.65893398354353
2849.6593186372747,71.55867121821194
2908.857715430862,71.12962347160617
2995.8316633266536,72.04457447167854
3072.1442885771544,74.32141853780091
3165.0100200400802,74.91709585850431
3253.1062124248497,75.78899685165194
3309.498997995992,73.4364012655033
3378.236472945892,76.18166077899903
3467.1743486973946,77.00538298623907
3526.6533066132265,76.7097913477317
3609.418837675351,78.14580903413955
3688.2565130260523,80.17664208729352
3741.0020040080162,74.51100992664342
3795.430861723447,70.62310932541632
3885.771543086172,71.30207446982133
3955.63126252505,74.10150053937254
4036.9939879759518,75.66621193921624
4122.845691382766,76.74293843749516
4216.5531062124255,77.32936673459255
4269.579158316634,72.10114504595751
4324.5691382765535,68.78933775437667
4378.436873747495,64.7732216209647
4440.440881763528,65.59801299575935
4523.767535070141,66.76722807228813
4605.691382765532,68.1113142178973
4661.24248496994,65.40138499243785
4732.505010020041,68.02858282638407
4825.090180360722,68.58349786547663
4884.28857715431,68.17228850799998
4955.270541082165,70.90721708394669
5018.957915831665,72.39752651111469
5090.220440881765,75.30576193846927
5183.086172344691,75.90932865433086
5254.629258517035,78.95771050836561
5333.466933867737,81.0096430468297
5431.382765531063,81.55749572048546
5526.2124248497,82.1502312645201
5576.993987975953,74.61281167387695
5629.178356713428,68.8868780578633
5704.92985971944,71.15693711223322
5768.05611222445,72.47044425372455
5833.426853707416,74.48548089516002
5895.430861723448,75.43394355692571
5971.743486973949,77.81790276594724
6045.8116232464945,80.7080166719373
6110.901803607216,82.86826807933782
6173.466933867737,84.17107445637554
6239.1182364729475,86.59575922850557
6309.539078156315,90.04391508285093
6398.757515030062,90.99434083213973
6472.825651302607,94.37382036651299
6565.130260521044,95.15789303629126
6647.0541082164345,97.07350956506134
6701.202404809621,91.70669218997632
6772.745490981965,95.38946769756242
6827.735470941885,91.00796259858738
6894.789579158318,94.03488466668755
6957.354709418839,95.51324604972595
7015.1503006012035,93.8198896556383
7076.5931863727465,94.71051990370772
7154.869739478959,97.28385744271813
