Zeit[h],Leistung[%]
0.0,100.0
0.280561122244489,98.69151083103354
0.561122244488978,97.40516540321225
0.8416833667334669,96.14096371653609
1.122244488977956,94.89890577100503
1.402805611222445,93.67899156661912
1.6833667334669338,92.48122110337833
1.9639278557114228,91.30559438128262
2.244488977955912,90.15211140033209
2.5250501002004007,89.02077216052668
2.80561122244489,87.91157666186639
3.0861723446893787,86.82452490435121
3.3667334669338675,85.75961688798118
3.647294589178357,84.71685261275627
3.9278557114228456,83.69623207867647
4.208416833667335,82.69775528574182
4.488977955911824,81.72142223395228
4.7695390781563125,80.76723292330789
5.050100200400801,79.8351873538086
5.330661322645291,78.92528552545446
5.61122244488978,78.03752743824542
5.891783567134269,77.17191309218153
6.1723446893787575,76.32844248726275
6.452905811623246,75.5071156234891
6.733466933867735,74.70793250086058
7.014028056112225,73.93089311937719
7.294589178356714,73.17599747903891
7.575150300601202,72.44324557984577
7.855711422845691,71.73263742179775
8.136272545090181,71.04417300489484
8.41683366733467,70.37785232913708
8.697394789579159,69.73367539452448
8.977955911823647,69.11164220105697
9.258517034068136,68.51175274873458
9.539078156312625,67.93400703755734
9.819639278557114,67.3784050675252
10.100200400801603,66.84494683863818
10.380761523046091,66.33363235089631
10.661322645290582,65.84381128207106
10.94188376753507,65.37255533812029
11.22244488977956,64.91950923903633
11.503006012024048,64.48467298481926
11.783567134268537,64.06804657546901
12.064128256513026,63.6696300109856
12.344689378757515,63.28942329136902
12.625250501002004,62.92742641661931
12.905811623246493,62.58363938673642
13.186372745490981,62.258062201720385
13.46693386773547,61.9506948615712
13.74749498997996,61.661537366288854
14.02805611222445,61.39058971587335
14.308617234468938,61.13785191032467
14.589178356713427,60.903323949642854
14.869739478957916,60.68700583382787
15.150300601202405,60.48889756287973
15.430861723446894,60.308999136798434
15.711422845691382,60.147310555583985
15.991983967935871,60.003831819236375
16.272545090180362,59.87856292775561
16.55310621242485,59.771503881141676
16.83366733466934,59.682654679394595
17.11422845691383,59.61201532251437
17.394789579158317,59.55958581050097
17.675350701402806,59.52536614335442
17.955911823647295,59.50935632107471
18.236472945891784,59.511556343661844
18.517034068136272,59.531966211115815
18.79759519038076,59.570585923436646
19.07815631262525,59.6274154806243
19.35871743486974,59.702454882678815
19.639278557114228,59.79570412960016
19.919839679358716,59.90716322138835
20.200400801603205,60.03683215804336
20.480961923847694,60.18471093956526
20.761523046092183,60.35079956595397
21.042084168336675,60.535098037209536
21.322645290581164,60.73760635333194
21.603206412825653,60.958324514321184
21.88376753507014,61.19725252017727
22.16432865731463,61.4543903709002
22.44488977955912,61.72973806648999
22.725450901803608,62.02329560694659
23.006012024048097,62.33505857228045
23.286573146292586,62.65499751498259
23.567134268537075,62.97389479230032
23.847695390781563,63.29175040423364
24.128256513026052,63.60856435078253
24.40881763527054,63.924336631946986
24.68937875751503,64.23906724772705
24.96993987975952,64.55275619812268
25.250501002004007,64.8654034831339
25.531062124248496,65.17700910276069
25.811623246492985,65.48757305700306
26.092184368737474,65.79709534586102
26.372745490981963,66.10557596933458
26.65330661322645,66.41301492742367
26.93386773547094,66.71941222012839
27.214428857715433,67.02476784744869
27.49498997995992,67.32908180938455
27.77555110220441,67.632354105936
28.0561122244489,67.93458473710304
28.336673346693388,68.23577370288562
28.617234468937877,68.53592100328383
28.897795591182366,68.83502663829759
29.178356713426854,69.13309060792695
29.458917835671343,69.4301129121719
29.739478957915832,69.72609355103239
30.02004008016032,70.02103252450848
30.30060120240481,70.31492983260017
30.5811623246493,70.60778547530744
30.861723446893787,70.89959945263028
31.142284569138276,71.19037176456871
31.422845691382765,71.4801024111227
31.703406813627254,71.76879139229229
31.983967935871743,72.05643870807745
32.26452905811623,72.34304435847821
32.545090180360724,72.62860834349453
32.82565130260521,72.91313066312644
33.1062124248497,73.19661131737394
33.38677354709419,73.47905030623701
33.66733466933868,73.76044762971566
33.947895791583164,74.0408032878099
34.22845691382766,74.32011728051972
34.50901803607214,74.59838960784512
34.789579158316634,74.8756202697861
35.07014028056112,75.15184175912245
35.35070140280561,75.42776891700976
35.6312625250501,75.70369417846614
35.91182364729459,75.97961754349166
36.19238476953908,76.25553901208632
36.47294589178357,76.53145858425003
36.75350701402806,76.80737625998286
37.034068136272545,77.08329203928484
37.31462925851704,77.35920592215591
37.59519038076152,77.63511790859609
37.875751503006015,77.91102799860539
38.1563126252505,78.18693619218381
38.43687374749499,78.46284248933134
38.71743486973948,78.73874689004793
38.99799599198397,79.01464939433369
39.278557114228455,79.29055000218854
39.55911823647295,79.5664487136125
39.83967935871743,79.84234552860559
40.120240480961925,80.11824044716776
40.40080160320641,80.39413346929909
40.6813627254509,80.6700245949995
40.96192384769539,80.94591382426903
41.24248496993988,81.22180115710765
41.523046092184366,81.4976865935154
41.80360721442886,81.77357013349227
42.08416833667335,82.04945177703824
42.364729458917836,82.32533152415333
42.64529058116233,82.60120937483752
42.92585170340681,82.87708532909082
43.206412825651306,83.15295938691325
43.48697394789579,83.42883154830477
43.76753507014028,83.70470181326542
44.04809619238477,83.98057018179517
44.32865731462926,84.25643665389401
44.609218436873746,84.53230122956201
44.88977955911824,84.80816390879909
45.170340681362724,85.08421912896232
45.450901803607216,85.36124598506689
45.7314629258517,85.63932588514123
46.012024048096194,85.91845882918531
46.29258517034068,86.19864481719914
46.57314629258517,86.47988384918271
46.85370741482966,86.76217592513606
47.13426853707415,87.04552104505915
47.414829659318634,87.32991920895196
47.69539078156313,87.61537041681451
47.97595190380762,87.90187466864685
48.256513026052104,88.18943196444893
48.5370741482966,88.47804230422074
